snippet_id,strategy,true_label,pred_label,vote_margin
23,sc_cot,positive,positive,1.0
24,cot,positive,positive,
24,direct,positive,positive,
24,sc_cot,positive,positive,1.0
25,cot,positive,positive,
25,direct,positive,positive,
25,sc_cot,positive,positive,1.0
26,cot,positive,positive,
26,direct,positive,positive,
26,sc_cot,positive,positive,1.0
27,cot,positive,positive,
27,direct,positive,positive,
27,sc_cot,positive,positive,1.0
28,cot,positive,positive,
28,direct,positive,positive,
28,sc_cot,positive,positive,1.0
29,cot,positive,positive,
29,direct,positive,positive,
29,sc_cot,positive,positive,1.0
30,cot,positive,positive,
30,direct,positive,positive,
30,sc_cot,positive,positive,1.0
31,direct,positive,negative,
32,cot,positive,positive,
32,direct,positive,positive,
32,sc_cot,positive,positive,1.0
33,cot,positive,positive,
33,direct,positive,positive,
33,sc_cot,positive,positive,1.0
34,cot,positive,positive,
34,direct,positive,positive,
34,sc_cot,positive,positive,1.0
35,cot,positive,negative,
35,direct,positive,positive,
35,sc_cot,positive,positive,0.42857142857142855
36,cot,positive,negative,
36,direct,positive,negative,
36,sc_cot,positive,negative,1.0
37,cot,positive,positive,
37,direct,positive,positive,
37,sc_cot,positive,positive,1.0
38,cot,positive,positive,
38,direct,positive,positive,
38,sc_cot,positive,positive,1.0
39,cot,positive,positive,
39,direct,positive,positive,
39,sc_cot,positive,positive,1.0
40,cot,positive,positive,
40,direct,positive,positive,
40,sc_cot,positive,positive,1.0
41,cot,positive,positive,
41,direct,positive,positive,
41,sc_cot,positive,positive,1.0
42,cot,positive,positive,
42,direct,positive,positive,
43,cot,positive,positive,
43,direct,positive,positive,
43,sc_cot,positive,positive,1.0
44,cot,positive,positive,
44,direct,positive,positive,
44,sc_cot,positive,positive,1.0
45,cot,positive,positive,
45,direct,positive,positive,
45,sc_cot,positive,positive,1.0
46,cot,positive,positive,
46,direct,positive,positive,
46,sc_cot,positive,positive,1.0
47,cot,positive,positive,
47,direct,positive,positive,
47,sc_cot,positive,positive,1.0
48,cot,positive,positive,
48,direct,positive,positive,
48,sc_cot,positive,positive,1.0
49,cot,positive,positive,
49,direct,positive,positive,
49,sc_cot,positive,positive,1.0
50,cot,positive,positive,
50,direct,positive,positive,
50,sc_cot,positive,positive,1.0
51,cot,positive,positive,
51,direct,positive,positive,
51,sc_cot,positive,positive,1.0
52,cot,positive,positive,
52,direct,positive,positive,
52,sc_cot,positive,positive,1.0
53,cot,positive,positive,
53,direct,positive,positive,
53,sc_cot,positive,positive,1.0
54,cot,positive,positive,
54,direct,positive,positive,
54,sc_cot,positive,positive,1.0
55,cot,positive,positive,
55,direct,positive,positive,
56,cot,positive,positive,
56,direct,positive,positive,
56,sc_cot,positive,positive,1.0
57,cot,positive,positive,
57,direct,positive,positive,
57,sc_cot,positive,positive,1.0
58,cot,positive,positive,
58,direct,positive,positive,
58,sc_cot,positive,positive,1.0
59,cot,positive,positive,
59,direct,positive,positive,
59,sc_cot,positive,positive,1.0
60,cot,positive,positive,
60,direct,positive,positive,
60,sc_cot,positive,positive,1.0
61,cot,positive,positive,
61,direct,positive,positive,
61,sc_cot,positive,positive,1.0
62,cot,positive,positive,
62,direct,positive,positive,
62,sc_cot,positive,positive,1.0
63,cot,positive,positive,
63,direct,positive,positive,
63,sc_cot,positive,positive,1.0
64,cot,positive,positive,
64,direct,positive,positive,
64,sc_cot,positive,positive,1.0
65,cot,positive,positive,
65,direct,positive,positive,
65,sc_cot,positive,positive,1.0
66,cot,positive,positive,
66,direct,positive,positive,
66,sc_cot,positive,positive,1.0
67,cot,positive,positive,
67,direct,positive,positive,
67,sc_cot,positive,positive,1.0
68,cot,positive,positive,
68,direct,positive,positive,
68,sc_cot,positive,positive,1.0
69,cot,positive,positive,
69,direct,positive,positive,
69,sc_cot,positive,positive,1.0
70,cot,positive,positive,
70,direct,positive,positive,
70,sc_cot,positive,positive,1.0
71,cot,positive,positive,
71,direct,positive,positive,
71,sc_cot,positive,positive,1.0
72,cot,positive,positive,
72,direct,positive,positive,
72,sc_cot,positive,positive,1.0
73,cot,positive,positive,
73,direct,positive,positive,
73,sc_cot,positive,positive,1.0
74,cot,positive,positive,
74,direct,positive,positive,
74,sc_cot,positive,positive,1.0
75,cot,positive,positive,
75,direct,positive,positive,
75,sc_cot,positive,positive,1.0
76,cot,positive,positive,
76,direct,positive,positive,
76,sc_cot,positive,positive,1.0
77,cot,positive,positive,
77,direct,positive,positive,
77,sc_cot,positive,positive,1.0
78,cot,positive,positive,
78,direct,positive,positive,
78,sc_cot,positive,positive,1.0
79,cot,positive,positive,
79,direct,positive,positive,
79,sc_cot,positive,positive,1.0
80,cot,positive,positive,
80,direct,positive,positive,
80,sc_cot,positive,positive,1.0
81,cot,positive,positive,
81,direct,positive,positive,
81,sc_cot,positive,positive,1.0
82,cot,positive,positive,
82,direct,positive,positive,
82,sc_cot,positive,positive,1.0
83,cot,positive,positive,
83,direct,positive,positive,
83,sc_cot,positive,negative,0.14285714285714285
84,cot,positive,negative,
84,direct,positive,negative,
84,sc_cot,positive,negative,0.42857142857142855
85,cot,positive,negative,
85,direct,positive,negative,
85,sc_cot,positive,negative,0.42857142857142855
86,cot,positive,positive,
86,direct,positive,positive,
86,sc_cot,positive,positive,1.0
87,cot,positive,positive,
87,direct,positive,positive,
87,sc_cot,positive,positive,1.0
88,cot,positive,positive,
88,direct,positive,positive,
88,sc_cot,positive,positive,1.0
89,cot,positive,positive,
89,direct,positive,positive,
89,sc_cot,positive,positive,1.0
90,cot,positive,positive,
90,direct,positive,positive,
90,sc_cot,positive,positive,1.0
91,cot,positive,positive,
91,direct,positive,positive,
91,sc_cot,positive,positive,1.0
92,cot,positive,positive,
92,direct,positive,positive,
92,sc_cot,positive,positive,1.0
93,cot,positive,positive,
93,direct,positive,positive,
93,sc_cot,positive,positive,0.14285714285714285
94,cot,positive,positive,
94,direct,positive,positive,
94,sc_cot,positive,positive,1.0
95,cot,positive,positive,
95,direct,positive,positive,
95,sc_cot,positive,positive,1.0
96,cot,positive,positive,
96,direct,positive,positive,
96,sc_cot,positive,positive,1.0
97,cot,positive,positive,
97,direct,positive,positive,
97,sc_cot,positive,positive,1.0
98,cot,positive,positive,
98,direct,positive,positive,
98,sc_cot,positive,positive,1.0
99,cot,positive,positive,
99,direct,positive,positive,
99,sc_cot,positive,positive,1.0
100,cot,positive,positive,
100,direct,positive,positive,
100,sc_cot,positive,positive,1.0
101,cot,positive,positive,
101,direct,positive,positive,
101,sc_cot,positive,positive,1.0
102,cot,positive,positive,
102,direct,positive,positive,
102,sc_cot,positive,positive,1.0
103,cot,positive,negative,
103,direct,positive,negative,
103,sc_cot,positive,negative,1.0
104,cot,positive,negative,
104,direct,positive,negative,
104,sc_cot,positive,negative,0.42857142857142855
105,cot,positive,positive,
105,direct,positive,negative,
105,sc_cot,positive,positive,0.7142857142857143
106,cot,positive,positive,
106,direct,positive,positive,
106,sc_cot,positive,positive,1.0
107,cot,positive,positive,
107,direct,positive,positive,
107,sc_cot,positive,positive,1.0
108,cot,positive,positive,
108,direct,positive,positive,
108,sc_cot,positive,positive,1.0
109,cot,positive,positive,
109,direct,positive,positive,
109,sc_cot,positive,positive,1.0
110,cot,positive,positive,
110,direct,positive,positive,
110,sc_cot,positive,positive,1.0
111,cot,positive,positive,
111,direct,positive,positive,
111,sc_cot,positive,positive,1.0
112,cot,positive,positive,
112,direct,positive,positive,
112,sc_cot,positive,positive,1.0
113,cot,positive,positive,
113,direct,positive,positive,
113,sc_cot,positive,positive,1.0
114,cot,positive,negative,
114,direct,positive,negative,
114,sc_cot,positive,negative,1.0
115,cot,positive,positive,
115,direct,positive,positive,
115,sc_cot,positive,positive,1.0
116,cot,positive,positive,
116,direct,positive,positive,
116,sc_cot,positive,positive,1.0
117,cot,positive,positive,
117,direct,positive,positive,
117,sc_cot,positive,positive,1.0
118,cot,positive,positive,
118,direct,positive,positive,
118,sc_cot,positive,positive,1.0
119,cot,positive,positive,
119,direct,positive,positive,
119,sc_cot,positive,positive,1.0
120,cot,positive,negative,
120,direct,positive,negative,
120,sc_cot,positive,negative,1.0
121,cot,positive,positive,
121,direct,positive,positive,
121,sc_cot,positive,positive,1.0
122,cot,positive,positive,
122,direct,positive,positive,
122,sc_cot,positive,positive,1.0
123,cot,positive,positive,
123,direct,positive,positive,
123,sc_cot,positive,positive,1.0
124,cot,positive,positive,
124,direct,positive,positive,
124,sc_cot,positive,positive,1.0
125,cot,positive,positive,
125,direct,positive,positive,
125,sc_cot,positive,positive,1.0
126,cot,positive,positive,
126,direct,positive,positive,
126,sc_cot,positive,positive,1.0
127,cot,positive,positive,
127,direct,positive,negative,
127,sc_cot,positive,negative,0.14285714285714285
128,cot,positive,positive,
128,direct,positive,positive,
128,sc_cot,positive,positive,1.0
129,cot,positive,positive,
129,direct,positive,positive,
129,sc_cot,positive,positive,1.0
130,cot,positive,positive,
130,direct,positive,negative,
130,sc_cot,positive,positive,0.14285714285714285
131,cot,positive,positive,
131,direct,positive,positive,
131,sc_cot,positive,positive,1.0
132,cot,positive,positive,
132,direct,positive,positive,
132,sc_cot,positive,positive,1.0
133,cot,positive,positive,
133,direct,positive,positive,
133,sc_cot,positive,positive,1.0
134,cot,positive,positive,
134,direct,positive,positive,
134,sc_cot,positive,positive,1.0
135,cot,positive,positive,
135,direct,positive,positive,
135,sc_cot,positive,positive,1.0
136,cot,positive,positive,
136,direct,positive,positive,
136,sc_cot,positive,positive,1.0
137,cot,positive,positive,
137,direct,positive,positive,
137,sc_cot,positive,positive,1.0
138,cot,positive,positive,
138,direct,positive,positive,
138,sc_cot,positive,positive,1.0
139,cot,positive,positive,
139,direct,positive,negative,
140,cot,positive,positive,
140,direct,positive,positive,
140,sc_cot,positive,positive,1.0
141,cot,positive,positive,
141,direct,positive,positive,
141,sc_cot,positive,positive,1.0
142,cot,positive,positive,
142,direct,positive,positive,
142,sc_cot,positive,positive,1.0
143,cot,positive,positive,
143,direct,positive,positive,
143,sc_cot,positive,positive,1.0
144,cot,positive,positive,
144,direct,positive,positive,
144,sc_cot,positive,positive,1.0
145,cot,positive,positive,
145,direct,positive,positive,
145,sc_cot,positive,positive,1.0
146,cot,positive,positive,
146,direct,positive,positive,
146,sc_cot,positive,positive,1.0
147,cot,positive,positive,
147,direct,positive,positive,
147,sc_cot,positive,positive,1.0
148,cot,positive,positive,
148,direct,positive,positive,
148,sc_cot,positive,positive,0.7142857142857143
149,cot,positive,negative,
149,direct,positive,negative,
149,sc_cot,positive,negative,1.0
150,cot,positive,positive,
150,direct,positive,positive,
150,sc_cot,positive,positive,1.0
151,cot,positive,positive,
151,direct,positive,positive,
151,sc_cot,positive,positive,1.0
152,cot,positive,positive,
152,direct,positive,positive,
152,sc_cot,positive,positive,1.0
153,cot,positive,positive,
153,direct,positive,negative,
153,sc_cot,positive,positive,1.0
154,cot,positive,positive,
154,direct,positive,positive,
154,sc_cot,positive,positive,1.0
155,cot,positive,negative,
155,direct,positive,negative,
155,sc_cot,positive,negative,1.0
156,cot,positive,positive,
156,direct,positive,positive,
156,sc_cot,positive,positive,1.0
157,cot,positive,positive,
157,direct,positive,positive,
157,sc_cot,positive,positive,1.0
158,cot,positive,positive,
158,direct,positive,positive,
158,sc_cot,positive,positive,1.0
159,cot,positive,positive,
159,direct,positive,positive,
159,sc_cot,positive,positive,1.0
160,cot,positive,positive,
160,direct,positive,positive,
160,sc_cot,positive,positive,1.0
161,cot,positive,positive,
161,direct,positive,positive,
161,sc_cot,positive,positive,1.0
162,cot,positive,positive,
162,direct,positive,positive,
162,sc_cot,positive,positive,0.7142857142857143
163,cot,positive,positive,
163,direct,positive,positive,
163,sc_cot,positive,positive,1.0
164,cot,positive,positive,
164,direct,positive,positive,
164,sc_cot,positive,positive,1.0
165,cot,positive,negative,
165,direct,positive,negative,
165,sc_cot,positive,negative,1.0
166,cot,positive,positive,
166,direct,positive,positive,
166,sc_cot,positive,positive,1.0
167,cot,positive,positive,
167,direct,positive,positive,
167,sc_cot,positive,positive,1.0
168,cot,positive,negative,
168,direct,positive,positive,
168,sc_cot,positive,negative,1.0
169,cot,positive,positive,
169,direct,positive,positive,
169,sc_cot,positive,positive,1.0
170,cot,positive,positive,
170,direct,positive,positive,
170,sc_cot,positive,positive,1.0
171,cot,positive,positive,
171,direct,positive,positive,
171,sc_cot,positive,positive,1.0
172,cot,positive,positive,
172,direct,positive,positive,
172,sc_cot,positive,positive,1.0
173,cot,positive,positive,
173,direct,positive,positive,
173,sc_cot,positive,positive,1.0
174,cot,positive,positive,
174,direct,positive,positive,
174,sc_cot,positive,positive,1.0
175,cot,positive,negative,
175,direct,positive,negative,
175,sc_cot,positive,negative,1.0
176,cot,positive,positive,
176,direct,positive,positive,
176,sc_cot,positive,positive,1.0
177,cot,positive,positive,
177,direct,positive,positive,
177,sc_cot,positive,positive,1.0
178,cot,positive,positive,
178,direct,positive,positive,
178,sc_cot,positive,positive,1.0
179,cot,positive,positive,
179,direct,positive,positive,
179,sc_cot,positive,positive,1.0
180,cot,positive,positive,
180,direct,positive,negative,
180,sc_cot,positive,negative,1.0
181,cot,positive,positive,
181,direct,positive,positive,
181,sc_cot,positive,positive,1.0
182,cot,positive,positive,
182,direct,positive,positive,
182,sc_cot,positive,positive,1.0
183,cot,positive,positive,
183,direct,positive,positive,
183,sc_cot,positive,positive,1.0
184,cot,positive,positive,
184,direct,positive,positive,
184,sc_cot,positive,positive,1.0
185,cot,positive,positive,
185,direct,positive,positive,
185,sc_cot,positive,positive,1.0
186,cot,positive,positive,
186,direct,positive,positive,
186,sc_cot,positive,positive,1.0
187,cot,positive,positive,
187,direct,positive,positive,
187,sc_cot,positive,positive,1.0
188,cot,positive,positive,
188,direct,positive,positive,
188,sc_cot,positive,positive,1.0
189,cot,positive,positive,
189,direct,positive,positive,
189,sc_cot,positive,positive,1.0
190,cot,positive,positive,
190,direct,positive,positive,
190,sc_cot,positive,positive,1.0
191,cot,positive,positive,
191,direct,positive,positive,
191,sc_cot,positive,positive,1.0
192,cot,positive,negative,
192,direct,positive,negative,
192,sc_cot,positive,negative,1.0
193,cot,positive,positive,
193,direct,positive,positive,
193,sc_cot,positive,positive,0.7142857142857143
194,cot,positive,positive,
194,direct,positive,positive,
194,sc_cot,positive,positive,1.0
195,cot,positive,positive,
195,direct,positive,positive,
195,sc_cot,positive,positive,1.0
196,cot,positive,positive,
196,direct,positive,positive,
196,sc_cot,positive,positive,1.0
197,cot,positive,positive,
197,direct,positive,positive,
197,sc_cot,positive,positive,1.0
198,cot,positive,positive,
198,direct,positive,positive,
198,sc_cot,positive,positive,1.0
199,cot,positive,positive,
199,direct,positive,positive,
199,sc_cot,positive,positive,1.0
200,cot,negative,negative,
200,direct,negative,negative,
200,sc_cot,negative,negative,1.0
201,cot,negative,negative,
201,direct,negative,negative,
201,sc_cot,negative,negative,1.0
202,cot,negative,negative,
202,direct,negative,negative,
202,sc_cot,negative,negative,1.0
203,cot,negative,negative,
203,direct,negative,negative,
203,sc_cot,negative,negative,1.0
204,cot,negative,negative,
204,direct,negative,negative,
204,sc_cot,negative,negative,1.0
205,cot,negative,negative,
205,direct,negative,negative,
205,sc_cot,negative,negative,1.0
206,cot,negative,negative,
206,direct,negative,negative,
206,sc_cot,negative,negative,1.0
207,cot,negative,negative,
207,direct,negative,negative,
207,sc_cot,negative,negative,1.0
208,cot,negative,positive,
208,direct,negative,positive,
208,sc_cot,negative,positive,1.0
209,cot,negative,negative,
209,direct,negative,negative,
209,sc_cot,negative,negative,1.0
210,cot,negative,negative,
210,direct,negative,negative,
210,sc_cot,negative,negative,1.0
211,cot,negative,negative,
211,direct,negative,negative,
211,sc_cot,negative,negative,1.0
212,cot,negative,positive,
212,direct,negative,positive,
212,sc_cot,negative,positive,1.0
213,cot,negative,negative,
213,direct,negative,negative,
213,sc_cot,negative,negative,1.0
214,cot,negative,negative,
214,direct,negative,negative,
214,sc_cot,negative,negative,1.0
215,cot,negative,negative,
215,direct,negative,negative,
215,sc_cot,negative,negative,1.0
216,cot,negative,negative,
216,direct,negative,negative,
216,sc_cot,negative,negative,1.0
217,cot,negative,negative,
217,direct,negative,negative,
217,sc_cot,negative,negative,1.0
218,cot,negative,negative,
218,direct,negative,negative,
218,sc_cot,negative,negative,1.0
219,cot,negative,negative,
219,direct,negative,negative,
219,sc_cot,negative,negative,1.0
220,cot,negative,negative,
220,direct,negative,negative,
220,sc_cot,negative,negative,1.0
221,cot,negative,negative,
221,direct,negative,negative,
221,sc_cot,negative,negative,1.0
222,cot,negative,negative,
222,direct,negative,negative,
222,sc_cot,negative,negative,1.0
223,cot,negative,negative,
223,direct,negative,negative,
223,sc_cot,negative,negative,1.0
224,cot,negative,negative,
224,direct,negative,negative,
224,sc_cot,negative,negative,1.0
225,cot,negative,negative,
225,direct,negative,negative,
225,sc_cot,negative,negative,1.0
226,cot,negative,negative,
226,direct,negative,positive,
226,sc_cot,negative,negative,1.0
227,cot,negative,negative,
227,direct,negative,negative,
227,sc_cot,negative,negative,1.0
228,cot,negative,negative,
228,direct,negative,negative,
228,sc_cot,negative,negative,1.0
229,cot,negative,negative,
229,direct,negative,negative,
229,sc_cot,negative,negative,1.0
230,cot,negative,negative,
230,direct,negative,negative,
230,sc_cot,negative,negative,1.0
231,cot,negative,negative,
231,direct,negative,negative,
231,sc_cot,negative,negative,1.0
232,cot,negative,negative,
232,direct,negative,negative,
232,sc_cot,negative,negative,1.0
233,cot,negative,negative,
233,direct,negative,negative,
233,sc_cot,negative,negative,1.0
234,cot,negative,negative,
234,direct,negative,negative,
234,sc_cot,negative,negative,1.0
235,cot,negative,positive,
235,direct,negative,negative,
235,sc_cot,negative,positive,1.0
236,cot,negative,negative,
236,direct,negative,negative,
236,sc_cot,negative,negative,1.0
237,cot,negative,negative,
237,direct,negative,negative,
237,sc_cot,negative,negative,1.0
238,cot,negative,negative,
238,direct,negative,negative,
238,sc_cot,negative,negative,1.0
239,cot,negative,negative,
239,direct,negative,negative,
239,sc_cot,negative,negative,1.0
240,cot,negative,negative,
240,direct,negative,negative,
240,sc_cot,negative,negative,1.0
241,cot,negative,negative,
241,direct,negative,negative,
241,sc_cot,negative,negative,1.0
242,cot,negative,negative,
242,direct,negative,negative,
242,sc_cot,negative,negative,1.0
243,cot,negative,negative,
243,direct,negative,negative,
243,sc_cot,negative,negative,1.0
244,cot,negative,negative,
244,direct,negative,negative,
244,sc_cot,negative,negative,1.0
245,cot,negative,negative,
245,direct,negative,negative,
245,sc_cot,negative,negative,1.0
246,cot,negative,negative,
246,direct,negative,negative,
246,sc_cot,negative,negative,1.0
247,cot,negative,positive,
247,sc_cot,negative,positive,1.0
248,cot,negative,negative,
248,direct,negative,negative,
248,sc_cot,negative,negative,1.0
249,cot,negative,negative,
249,direct,negative,negative,
249,sc_cot,negative,negative,1.0
250,cot,negative,negative,
250,direct,negative,negative,
250,sc_cot,negative,negative,1.0
251,cot,negative,negative,
251,direct,negative,negative,
251,sc_cot,negative,negative,1.0
252,cot,negative,negative,
252,direct,negative,negative,
252,sc_cot,negative,positive,0.14285714285714285
253,cot,negative,negative,
253,direct,negative,negative,
253,sc_cot,negative,negative,0.7142857142857143
254,cot,negative,negative,
254,direct,negative,negative,
254,sc_cot,negative,negative,1.0
255,cot,negative,negative,
255,direct,negative,negative,
255,sc_cot,negative,negative,1.0
256,cot,negative,negative,
256,direct,negative,negative,
256,sc_cot,negative,negative,1.0
257,cot,negative,negative,
257,direct,negative,negative,
257,sc_cot,negative,negative,1.0
258,cot,negative,negative,
258,direct,negative,negative,
258,sc_cot,negative,negative,1.0
259,cot,negative,negative,
259,direct,negative,negative,
259,sc_cot,negative,negative,1.0
260,cot,negative,negative,
260,direct,negative,negative,
260,sc_cot,negative,negative,1.0
261,cot,negative,negative,
261,direct,negative,negative,
261,sc_cot,negative,negative,1.0
262,cot,negative,negative,
262,direct,negative,negative,
262,sc_cot,negative,negative,1.0
263,cot,negative,negative,
263,direct,negative,negative,
263,sc_cot,negative,negative,1.0
264,cot,negative,negative,
264,direct,negative,negative,
264,sc_cot,negative,negative,1.0
265,cot,negative,negative,
265,direct,negative,negative,
265,sc_cot,negative,negative,1.0
266,cot,negative,negative,
266,direct,negative,negative,
266,sc_cot,negative,negative,1.0
267,cot,negative,negative,
267,direct,negative,negative,
267,sc_cot,negative,negative,1.0
268,cot,negative,negative,
268,direct,negative,negative,
268,sc_cot,negative,negative,1.0
269,cot,negative,negative,
269,direct,negative,negative,
269,sc_cot,negative,negative,1.0
270,cot,negative,negative,
270,direct,negative,negative,
270,sc_cot,negative,negative,1.0
271,cot,negative,negative,
271,direct,negative,negative,
271,sc_cot,negative,negative,1.0
272,cot,negative,negative,
272,direct,negative,negative,
272,sc_cot,negative,negative,1.0
273,cot,negative,negative,
273,direct,negative,negative,
273,sc_cot,negative,negative,1.0
274,cot,negative,negative,
274,direct,negative,negative,
274,sc_cot,negative,negative,1.0
275,cot,negative,negative,
275,direct,negative,negative,
275,sc_cot,negative,negative,1.0
276,cot,negative,negative,
276,direct,negative,negative,
276,sc_cot,negative,negative,1.0
277,cot,negative,negative,
277,direct,negative,negative,
277,sc_cot,negative,negative,1.0
278,cot,negative,negative,
278,direct,negative,negative,
278,sc_cot,negative,negative,1.0
279,cot,negative,negative,
279,direct,negative,negative,
279,sc_cot,negative,negative,1.0
280,cot,negative,negative,
280,direct,negative,negative,
280,sc_cot,negative,negative,1.0
281,cot,negative,negative,
281,direct,negative,negative,
281,sc_cot,negative,negative,0.7142857142857143
282,cot,negative,positive,
282,direct,negative,positive,
282,sc_cot,negative,positive,1.0
283,cot,negative,negative,
283,direct,negative,negative,
283,sc_cot,negative,negative,1.0
284,cot,negative,negative,
284,direct,negative,negative,
285,cot,negative,negative,
285,direct,negative,negative,
285,sc_cot,negative,negative,1.0
286,cot,negative,negative,
286,direct,negative,negative,
286,sc_cot,negative,negative,1.0
287,cot,negative,negative,
287,direct,negative,negative,
287,sc_cot,negative,negative,1.0
288,cot,negative,negative,
288,direct,negative,negative,
288,sc_cot,negative,negative,1.0
289,cot,negative,negative,
289,direct,negative,negative,
289,sc_cot,negative,negative,1.0
290,cot,negative,negative,
290,direct,negative,negative,
290,sc_cot,negative,negative,1.0
291,cot,negative,negative,
291,direct,negative,negative,
291,sc_cot,negative,negative,1.0
292,cot,negative,negative,
292,direct,negative,negative,
292,sc_cot,negative,negative,1.0
293,cot,negative,negative,
293,direct,negative,negative,
293,sc_cot,negative,negative,1.0
294,cot,negative,positive,
294,direct,negative,positive,
294,sc_cot,negative,negative,0.7142857142857143
295,cot,negative,negative,
295,direct,negative,negative,
295,sc_cot,negative,negative,1.0
296,direct,negative,positive,
296,sc_cot,negative,positive,1.0
297,cot,negative,negative,
297,direct,negative,negative,
297,sc_cot,negative,positive,0.7142857142857143
298,cot,negative,negative,
298,direct,negative,negative,
298,sc_cot,negative,negative,1.0
299,cot,negative,negative,
299,direct,negative,negative,
299,sc_cot,negative,negative,1.0
300,cot,negative,negative,
300,direct,negative,negative,
300,sc_cot,negative,negative,1.0
301,cot,negative,negative,
301,direct,negative,negative,
301,sc_cot,negative,negative,0.42857142857142855
302,cot,negative,negative,
302,direct,negative,negative,
302,sc_cot,negative,negative,1.0
303,cot,negative,negative,
303,direct,negative,negative,
303,sc_cot,negative,negative,1.0
304,cot,negative,negative,
304,direct,negative,negative,
304,sc_cot,negative,negative,1.0
305,cot,negative,negative,
305,direct,negative,negative,
305,sc_cot,negative,negative,1.0
306,cot,negative,negative,
306,direct,negative,negative,
306,sc_cot,negative,negative,1.0
307,cot,negative,negative,
307,direct,negative,negative,
307,sc_cot,negative,negative,1.0
308,cot,negative,negative,
308,direct,negative,negative,
308,sc_cot,negative,negative,1.0
309,cot,negative,negative,
309,direct,negative,positive,
309,sc_cot,negative,negative,0.14285714285714285
310,cot,negative,negative,
310,direct,negative,negative,
310,sc_cot,negative,negative,1.0
311,cot,negative,positive,
311,direct,negative,negative,
311,sc_cot,negative,positive,1.0
312,cot,negative,positive,
312,direct,negative,positive,
312,sc_cot,negative,positive,1.0
313,cot,negative,negative,
313,direct,negative,negative,
313,sc_cot,negative,negative,1.0
314,cot,negative,positive,
314,direct,negative,negative,
314,sc_cot,negative,negative,0.14285714285714285
315,cot,negative,negative,
315,direct,negative,negative,
315,sc_cot,negative,negative,1.0
316,cot,negative,negative,
316,direct,negative,negative,
316,sc_cot,negative,negative,1.0
317,cot,negative,negative,
317,direct,negative,negative,
317,sc_cot,negative,negative,1.0
318,cot,negative,negative,
318,direct,negative,negative,
318,sc_cot,negative,negative,1.0
319,cot,negative,negative,
319,direct,negative,negative,
319,sc_cot,negative,negative,1.0
320,cot,negative,negative,
320,direct,negative,negative,
320,sc_cot,negative,negative,1.0
321,cot,negative,negative,
321,direct,negative,negative,
321,sc_cot,negative,negative,1.0
322,cot,negative,negative,
322,direct,negative,negative,
322,sc_cot,negative,negative,1.0
323,cot,negative,negative,
323,direct,negative,negative,
323,sc_cot,negative,negative,1.0
324,cot,negative,negative,
324,direct,negative,negative,
324,sc_cot,negative,negative,1.0
325,cot,negative,negative,
325,direct,negative,negative,
325,sc_cot,negative,negative,1.0
326,cot,negative,negative,
326,direct,negative,negative,
326,sc_cot,negative,negative,1.0
327,cot,negative,negative,
327,direct,negative,negative,
327,sc_cot,negative,negative,1.0
328,cot,negative,negative,
328,direct,negative,negative,
328,sc_cot,negative,negative,1.0
329,cot,negative,negative,
329,direct,negative,negative,
329,sc_cot,negative,negative,1.0
330,cot,negative,negative,
330,direct,negative,negative,
330,sc_cot,negative,negative,1.0
331,cot,negative,negative,
331,direct,negative,negative,
331,sc_cot,negative,negative,1.0
332,cot,negative,negative,
